key,en,status
항공기 PUSHBACK 절차 안내,Aircraft Pushback Guide,ok
자동,Auto,ok
라이트,Light,ok
다크,Dark,ok
밀어요 로고,App logo,ok
전체 도면 저장,Download all drawings,ok
내 위치에서 가까운 주기장 찾기,Find the nearest stand from my location,ok
게이트 번호 입력,Enter stand number,ok
지우기,Delete,ok
구역별 전체 보기 ▾,Browse by area ▾,ok
구역별 목록 접기 ▴,Collapse area list ▴,ok
인천국제공항공사,Incheon International Airport Corp.,ok
운항관리처,Flight Operations Division,ok
개정,Rev.,ok
탑승동,Concourse,ok
화물계류장1,Cargo apron 1,ok
화물계류장2,Cargo apron 2,ok
원격·기타,Remote / other,ok
{n}개소,{n} stands,ok
{z} 주기장,{z} · Stand,ok
내 위치,My location,ok
{n}번 주기장 위치도,Stand {n} location map,ok
현재 위치가 지도 범위(T2 구역) 밖입니다,Current location is outside the map area (T2),ok
위치 확인 실패 — 위치 권한을 허용해 주세요,Location unavailable. Please allow location access,ok
일치하는 게이트가 없습니다,No matching stand,ok
일치 게이트 · {n}개,Matching stands · {n},ok
…계속 입력하세요,…keep typing,ok
이 기기는 위치 서비스를 지원하지 않습니다.,This device does not support location services.,ok
위치 추적 중 — 누르면 끄기,Tracking location. Tap to stop,ok
위치 확인 중…,Locating…,ok
좌표가 입력된 게이트가 없습니다.,No stands with coordinates.,ok
약 {d}m,approx. {d} m,ok
GPS 정확도 ±{a}m — 실제 작업 주기장 번호와 일치하는지 확인 후 선택하세요,GPS accuracy ±{a} m. Confirm the stand number matches your actual work stand before selecting,ok
위치 확인 실패: 위치 권한을 허용해 주세요.,Location unavailable: please allow location access.,ok
기수 북향 (R17 기준선),Nose north (R17 reference line),ok
R17 기준선까지 견인 후 정대,Push back to the R17 reference line and align,ok
R17 도달 전 분리 금지,Do not disconnect before reaching R17,ok
역MARS 운영 주기장 — 푸시백 승인 요청,Reverse-MARS stand. Request pushback approval,ok
E/F급 장거리 토바 사용 확인,Confirm long towbar for code E/F,ok
윙워커 2명 + 후방감시 1명 배치,Position 2 wing walkers and 1 rear observer,ok
R17 기준선까지 견인 (표준보다 견인거리 김),Push back to the R17 reference line (longer than standard),ok
R17 정대 후 정지·토바 분리,Stop aligned on R17 and disconnect the towbar,ok
E/F급 전용 — 견인거리 증가로 소요시간 여유 확보,Code E/F only. Allow extra time for the longer tow distance,ok
R17 기준선까지 견인 후 정대·분리,"Push back to the R17 reference line, align and disconnect",ok
E/F급 전용,Code E/F only,ok
절차 내용 입력 예정 (핸드북 미수록),Procedure to be added (not in handbook),ok
M15 항공기 이동 가능하도록 SHORT PUSHBACK 할 것!,Perform a SHORT PUSHBACK to allow the M15 aircraft to move!,ok
558 출발 전 슬라이딩게이트 개방 확인,Confirm the sliding gate is open before departing 558,ok
슬라이딩게이트 진입 전 LTE 계류장관제3 교신,Contact Incheon Apron 3 via LTE before entering the sliding gate,ok
계류장관제 지시에 따라 이동,Proceed as advised by Incheon Apron,ok
LTE 관제탑 교신,Contact the tower via LTE,ok
관제탑 지시에 따라 이동,Proceed as instructed by the tower,ok
홈화면,Home,ok
후방견인절차,Pushback procedures,ok
견인 방향,Pushback direction,ok
정대 기준,Alignment reference,ok
분리 지점,Disconnect point,ok
통신,Frequency,ok
관제 지시별 후방견인 절차,Pushback procedures by phraseology,ok
표준 절차,Standard procedure,ok
주의사항,Cautions,ok
후방견인 도면,Pushback drawing,ok
기본 시점,Standard view,ok
작업자 시점,Crew view,ok
{n}번 주기장 도면,Stand {n} drawing,ok
{n}번 주기장 도해,Stand {n} diagram,ok
탭하여 확대,Tap to zoom,ok
견인 진행방향 ↑,Pushback direction ↑,ok
항공기를 탭하면 그 절차가 재생됩니다 ▶,Tap an aircraft to play its procedure ▶,ok
탭하여 견인경로 재생 ▶,Tap to play the pushback path ▶,ok
경로이탈 감지 시작 (시범),Start route deviation alert (trial),ok
경로이탈 감지 중지,Stop route deviation alert,ok
내 위치 표시 (작업자 참고용),Show my location (crew reference only),ok
위치 표시 중지,Hide my location,ok
