key,gid,title,ko,en,title_en,src,aip,status,note
1:0,1,Pushback Approved to Point 1,항공기 기수방향이 북쪽을 향하게 하고 Blue Line을 따라 푸쉬백하여 Point 1에 정확하게 Nose Gear를 정대 시킨다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at spot 1.,,aip,AMDT 7/26,review,
2:0,2,Pushback Approved to Point 1,항공기 기수방향이 북쪽을 향하게 하고 Blue Line을 따라 푸쉬백하여 Point 1에 정확하게 Nose Gear를 정대 시킨다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at spot 1.,,aip,AMDT 7/26,review,
3:0,3,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 Point 1을 향하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
3:1,3,Pushback Approved to Point 1,항공기 기수방향이 북쪽을 향하게 하고 Blue Line을 따라 푸쉬백하여 Point 1에 정확하게 Nose Gear를 정대시킨다.,The aircraft shall be pushed back to face north along blue line until its nosewheel is at spot 1.,,aip,AMDT 7/26,review,
6:0,6,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백 한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
6:1,6,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip+tr,,review,
6:2,6,"Pushback Approved to Face South abeam Gate No 7, 8",항공기 기수방향이 남쪽을 향하게 하고 지시된 주기장의 진입중심선까지 후방견인하여 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along taxilane R1 until the specific gate position.,,aip,AMDT 7/26,review,
7:0,7,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip+tr,,review,
7:1,7,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1에 위치하도록 푸쉬백한다. * A4 유도로 이동 항공기에 영향 없도록 푸쉬백,The aircraft shall be pushed back onto taxilane R1 to face north. * The aircraft is pushed back so as not to affect aircraft taxiing on taxiway A4.,,aip+tr,AMDT 7/26,review,
7:2,7,Pushback Approved to Stand 825,항공기 기수방향이 남쪽을 향하게 하고 주기장 825번까지 후방견인 하여 Nose Gear 및 동체가 R5 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the stand 825 on taxilane R5 to face south.,,aip,AMDT 7/26,review,
8:0,8,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip,AMDT 7/26,review,
8:1,8,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip+tr,,review,
8:2,8,Pushback Approved to Stand 825,항공기 기수방향이 남쪽을 향하게 하고 주기장 825번까지 후방견인 하여 Nose Gear 및 동체가 R5 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the stand 825 on taxilane R5 to face south.,,aip,AMDT 7/26,review,
9:0,9,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Blue Line을 따라 후방견인하여 Nose Gear가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back to face south along blue line until its nosewheel is at R1.,,aip,AMDT 7/26,review,
9:1,9,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
9:2,9,Pushback Approved to Stand 825,항공기 기수방향이 남쪽을 향하게 하고 주기장 825번까지 후방견인 하여 Nose Gear가 R5 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto the stand 825 on taxilane R5 to face south.,,aip,AMDT 7/26,review,
10:0,10,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다. * 후류 영향이 없도록 Nose Gear가 14번 주기장 뒤에 위치하도록 푸쉬백,The aircraft shall be pushed back onto taxilane R1 to face south. * Until gate 14 to minimize jet blast effect.,,aip+tr,AMDT 7/26,review,
10:1,10,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
11:0,11,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다. * 후류 영향이 없도록 Nose Gear가 14번 주기장 뒤에 위치하도록 푸쉬백,The aircraft shall be pushed back onto taxilane R1 to face south. * Until gate 14 to minimize jet blast effect.,,aip+tr,AMDT 7/26,review,
11:1,11,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
12:0,12,Pushback Approved to Face South,항공기 기수방향이 남쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face south.,,aip,AMDT 7/26,review,
12:1,12,Pushback Approved to Face North,항공기 기수방향이 북쪽을 향하게 하고 Nose Gear 및 동체가 R1 유도선에 위치하도록 푸쉬백한다.,The aircraft shall be pushed back onto taxilane R1 to face north.,,aip,AMDT 7/26,review,
